GlobalSignal	CompCorrVec1	CompCorrVec2	CompCorrVec3	CompCorrVec4	CompCorrVec5	CompCorrVec6	CompCorrVec7	CompCorrVec8	CompCorrVec9	CompCorrVec10	CompCorrVec11	CompCorrVec12
0	-0	-0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0
2.0256585824578e-05	-5.10334250780328e-06	6.49303096192391e-05	-0.00159831226213738	1.24744917187739e-111	1.45735942946994e-05	-4.24074440695596e-195	-0.211179956016609	0.177703274703355	-0.143653689880454	0.280378356085094	-0.00218411262476185	0.000457215745264668
0	2.67874570231453e-17	-2.58974021531604e-17	-4.2242865845465e-18	-1.55279998949679e-18	-2.5934929488233e-17	-9.36509554751334e-21	-7.92057842239279e-07	-2.37940526079836e-05	-6.85025253454174e-05	-2.45361866055598e-05	-0.000169908459676722	-0.00285008213453108
0	2.32647607205747e-17	1.21608569503836e-16	1.1481970621945e-17	6.14410237541933e-18	-1.07644260087566e-16	-1.12570173122395e-18	1.15909034599808e-07	-1.1689356734896e-05	-7.68937749909318e-05	-4.47004513313501e-05	-0.000296712751159825	0.000114141066178646
0	-9.63981153459327e-22	-3.44224396758969e-20	-9.03133616961547e-21	-8.14241357103106e-18	-7.27686564889028e-18	-5.88242429875981e-19	-1.30832014338315e-06	-6.61623365595513e-06	-7.13027910296072e-06	4.41981381263246e-07	-2.3934777344334e-05	-0.000160637154280662
0	-1.40563673706368e-23	-3.31071886341394e-21	-2.25259903369767e-21	-2.25638989236705e-18	-2.0298947630095e-17	1.51875935088531e-18	-7.44510362940263e-06	6.08787845060697e-06	-6.34511103603181e-06	2.34057308813254e-05	-8.33500650698607e-06	3.39577716251779e-05
0	-0	-0	-0	-4.31512464649231e-17	-0	-4.23750069432135e-18	-1.19244589700007e-10	1.91606872206945e-10	-2.1994367138304e-10	5.52601790489464e-10	-2.62214470885433e-10	-1.35895767800739e-09
0	-0	-0	-0	1.9298798670242e-17	-0	-2.85641678254566e-18	-1.13909173458844e-10	-4.01352388729171e-10	1.29028671535718e-10	-3.48924838687098e-10	2.01480463816546e-10	-1.66699669701216e-09
0	-0	-0	-0	5.10930273783794e-18	-0	-1.31963266406912e-18	-2.2560459155111e-11	-8.27548952803833e-10	3.2504951581823e-11	8.80033599748485e-10	4.86182427219291e-11	-1.34520987389569e-10
0	-0	-0	-0	3.03576608295941e-17	-0	-4.17912697208379e-18	-3.47233780610122e-13	-1.14987968429075e-10	-4.98295318386796e-10	-2.00806570763402e-10	-1.49963202674686e-09	2.14573102829241e-10
0	-0	-0	-0	-1.09504419421036e-17	-0	2.35625375335935e-18	-2.2512294724182e-14	-1.75244335354179e-11	-9.27117313949159e-11	-4.33170422190815e-11	-1.61275847478166e-09	-2.06221522920621e-09
0	-0	-0	-0	4.61870125478825e-17	-0	8.01300199137775e-18	1.54273062732613e-15	3.05601788449943e-12	2.03544167129306e-11	1.13290354701716e-11	3.29927001204611e-09	2.00471937253251e-09
0	-0	-0	-0	-9.32413868337534e-18	-0	3.51647713286093e-18	1.07092980346728e-18	4.89457582190209e-15	3.94426750776256e-14	2.52287145185027e-14	2.06890067494054e-11	-1.06084971127722e-09
0	-0	-0	-0	-5.52943107967607e-18	-0	-5.76013506123956e-18	-6.29404652405857e-20	-7.22765645061046e-16	-7.29391887834586e-15	-5.53083200428869e-15	-3.00186565976246e-11	-4.23320262837763e-09
0	-0	-0	-0	-1.7130394325271e-17	-0	-3.85814243051473e-18	1.98829561173237e-23	5.3328051926657e-19	6.54622264139159e-18	5.7331636783673e-18	1.06797281516045e-13	3.60789104920777e-11
0	-0	-0	-0	3.68628738645072e-17	-0	-3.79996599085327e-18	1.55893163618982e-26	9.79992386335827e-22	1.46528806866942e-20	1.48397364321395e-20	9.73884695488969e-16	8.57677758113971e-13
0	-0	-0	-0	3.3881317890172e-18	-0	-1.73976596899093e-18	3.82601856832349e-28	5.67182719004086e-23	1.03536517973643e-21	1.21497601915449e-21	2.91505708131261e-16	7.22118664395283e-13
0	-0	-0	-0	-2.90566182226115e-17	-0	-1.43140627152096e-18	-5.98318189412272e-31	-2.07608270934485e-25	-4.61358406460271e-24	-6.25718993503161e-24	-5.23651264852925e-18	-3.27142086480858e-14
0	-0	-0	-0	-1.35525271560688e-17	-0	4.58968442064438e-18	4.28395886350905e-34	3.48562548787662e-28	9.43541368125791e-27	1.47965655026616e-26	4.36869036198964e-20	7.03614403583217e-16
0	-0	-0	-0	1.00288700954909e-17	-0	-4.20345559466989e-18	-1.43022842161197e-37	-2.71460722918454e-31	-8.93126821258838e-30	-1.61603089418799e-29	-1.63519297267489e-22	-6.37531800937397e-18
0.00260441783864499	-0	-0	-0	-2.2659825404947e-17	-0	-3.51984541231525e-18	-2.81533837754237e-41	-1.24520768874584e-34	-4.97394654839148e-33	-1.03701824176087e-32	-3.61083161734824e-25	-3.4107818043941e-20
0	-0	-0	-0	8.45677694538693e-18	-0	-3.05526603871974e-19	-2.8535217105492e-46	-2.92783354647611e-39	-1.41528816106799e-37	-3.38836262914235e-37	-4.1273629594259e-29	-9.51518385397402e-24
0	-0	-0	-0	-3.8218126580114e-18	-0	3.71863345712399e-18	-2.13986185940184e-49	-4.98038479231351e-42	-2.88458837941912e-40	-7.86132332069735e-40	-3.48436020124621e-31	-1.93519467386653e-25
0.00163371373909375	-0	-0	-0	1.48535697630514e-17	-0	1.31861192319323e-18	7.0802448884474e-54	3.46643757925082e-46	2.35372370190447e-44	7.18215484167606e-44	1.40721895070259e-34	1.89255689047147e-28
