GlobalSignal	CompCorrVec1	CompCorrVec2	CompCorrVec3	CompCorrVec4	CompCorrVec5	CompCorrVec6	CompCorrVec7	CompCorrVec8	CompCorrVec9	CompCorrVec10	CompCorrVec11	CompCorrVec12
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0
-0.000521659730797473	-0.00253924026000623	0.00283125073825629	0.0467790457396525	0.00228970785091973	-0.000895954977602262	0.0523398641114366	-0.00139608845660196	0.142414473719924	0.000173035188532656	0.00284753577415042	0.00128926550780821	-0.00346146386064293
0	4.00581235731935e-17	-3.4628037347015e-19	7.23499382590875e-18	-2.78077469949397e-18	-8.82050084002851e-05	-2.40417323989425e-05	0.000119007625601631	5.96571306030775e-06	9.05677974967693e-05	8.86768081727659e-07	4.76457500862122e-05	-1.57303030209675e-05
0	1.41273148476491e-17	5.9393079558321e-17	-3.81372088542964e-18	-1.50058753485187e-16	1.28229446548167e-05	7.54741789919632e-06	0.000223187185594703	1.50862963732444e-05	1.64393258334646e-05	7.54602581094828e-06	-2.63094257731108e-05	0.000642495355355498
0	4.31482131863846e-19	3.44091918665936e-18	-4.56953367419803e-19	8.19839403680262e-17	7.24771148421271e-08	2.45271553789034e-06	9.86994170870308e-06	-2.19033155111096e-06	5.25346801252994e-07	7.99883721794597e-05	-2.20100343317528e-05	5.31723599872952e-05
0	3.17666673034718e-26	4.54558603788708e-25	-1.11260994096774e-25	5.3187663191345e-22	5.41247749801797e-10	5.89349533089287e-09	-2.03651066308985e-09	-5.89269564497668e-08	1.71124265307202e-09	-8.93873288336514e-09	3.19139896329664e-09	-2.66256877319982e-10
0	-0	-0	-0	-0	8.36808830338537e-12	1.05110276119308e-10	9.01207979971422e-11	4.37349150899548e-10	4.39461935703941e-11	-1.42265091520008e-11	-4.29562287210504e-11	-2.90625925955256e-11
0	-0	-0	-0	-0	2.73381105552472e-11	-1.166234016498e-10	-9.4099144469582e-11	4.1517725464802e-10	5.00790010364134e-11	5.50571711149332e-11	-3.48292155312734e-11	-2.96168750258085e-10
0	-0	-0	-0	-0	1.23436456313864e-10	6.60979721317672e-11	7.50160117111662e-12	-1.69576992878693e-10	-3.68669563722113e-10	2.46962798698714e-11	3.518187775159e-10	7.82943051086066e-11
0.00420312345550913	-0	-0	-0	-0	8.45443163506472e-13	1.2371119155558e-12	-1.59565405786798e-10	-1.13234855539042e-11	2.32671394520178e-10	-4.56843520966219e-11	-6.06393606662002e-10	1.35387760215902e-09
0	-0	-0	-0	-0	-3.05024553291613e-14	-1.69863708947695e-13	-4.3479057512688e-10	-8.3778877622716e-12	2.73968830297695e-10	5.15120826881837e-10	9.28054930701492e-11	2.79999218722545e-09
0.000949182967943082	0.00462026003546123	-0.00515158602451616	-0.0851165440829241	-0.00416622477325364	0.000484489434166819	-0.0550739766056274	0.00205173672894159	-0.147917814167286	-0.00037993537014533	-0.00245107680285031	-0.00205300702380546	0.00392817417729286
0	-0	-0	-0	-0	-5.79268111414032e-17	-3.74758555483745e-15	-1.50152862346315e-10	-6.08598155653849e-12	-3.63946259743222e-11	4.34325128063947e-10	-2.88608602806399e-10	-3.55586762673118e-10
0	-0	-0	-0	-0	9.67746292163257e-19	1.9648177230666e-16	2.44294101013772e-11	1.40183747802894e-12	-1.51812459404718e-10	-1.60213701528333e-10	5.17181579438292e-10	-4.00486539895329e-10
0.000228366845277332	8.33897216304292e-05	0.000140146337948715	-0.000707007489674755	0.0742181053769699	0.000247008120329829	-0.00500633946084009	0.0051104586680864	-5.58399274131328e-05	-0.00841971818522411	0.231494643192909	0.00763198106778147	0.00696552889626748
0	-0	-0	-0	-0	9.82625454351061e-23	1.72917886337166e-19	1.20656146675335e-13	5.59127664449163e-15	2.34552529220143e-10	-2.28200854766506e-11	1.01370457727204e-09	5.55881458675133e-10
0	-0	-0	-0	-0	1.92388322502362e-24	1.2277188175377e-20	5.50632324458491e-14	1.17539931475159e-14	-2.18249865414451e-10	1.63350310100227e-11	-2.08124170706068e-10	-9.82241980627296e-11
0	-0	-0	-0	-0	7.25822527977482e-26	1.38675357048776e-21	1.68695776952753e-14	4.71362264401745e-15	-1.19334643338007e-10	9.62559099819847e-12	-3.48406689304715e-10	-2.1135665926022e-10
0	-0	-0	-0	-0	-1.95170671105581e-28	-1.07864449645362e-23	-3.28221552310757e-16	-1.15618038555388e-16	3.77684233514764e-12	-3.23260684353085e-13	2.38986589816434e-11	1.65911113314112e-11
0	-0	-0	-0	-0	-2.86240126612744e-31	-4.59211235764888e-26	-3.5425361816707e-18	-1.58124578986976e-18	6.71276393520889e-14	-6.10844596589494e-15	9.54828295837029e-13	7.6582651238992e-13
0	-0	-0	-0	-0	-2.48837729029778e-35	-1.04260862827093e-29	-1.52526687100651e-21	-7.35125221757644e-22	3.06387452021803e-17	-2.70277699503177e-18	-6.91479346267915e-16	-1.06351265787726e-15
0	-0	-0	-0	-0	-7.19377692759302e-36	-9.528440798682e-30	-4.73808252064839e-21	-3.37821807569442e-21	2.40472291329745e-16	-2.46868346661333e-17	1.66826419225898e-14	1.77009582034576e-14
0	-0	-0	-0	-0	3.04498100707994e-39	1.13043642759434e-32	1.43817893108392e-23	1.28923046353193e-23	-1.17969149245211e-18	1.28378542250014e-19	-1.74049427152641e-16	-2.10281056407442e-16
0	-0	-0	-0	-0	1.01364243405002e-41	1.02612473813172e-34	3.48382095494863e-25	3.94204226130383e-25	-4.6618367038354e-20	5.38549072646539e-21	-1.4994914193005e-17	-2.07473006318878e-17
