GlobalSignal	CompCorrVec1	CompCorrVec2	CompCorrVec3	CompCorrVec4	CompCorrVec5	CompCorrVec6	CompCorrVec7	CompCorrVec8	CompCorrVec9	CompCorrVec10	CompCorrVec11	CompCorrVec12
0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0.00125435339903001	-0.0272821874653667	0.00277072260704513	0.178590962316647	-5.16987882845642e-26	2.01948391736579e-28	0.00621310562567091	6.61744490042422e-24	-0.0112769457295948	-2.24073043028535e-18	-0.00423161752861795	0.0218158168058704	-0.00965368291819408
0.000370130341871071	-0.00105245836975448	0.0278098293375664	-0.000939856432773574	-4.55109137858753e-19	2.04169953292652e-20	1.85385336207218e-05	6.81453887933846e-18	2.39960742520831e-05	5.8254277602027e-11	0.294168790203793	-0.12094292728785	0.0122730944070702
0.000842489706658085	5.92085376262914e-19	1.4934099888207e-17	-3.32754040762613e-19	1.99643860087658e-19	5.04891658856761e-20	4.87597557611404e-18	-3.23233760361277e-18	-3.42802322799745e-17	-1.73620614983172e-10	-2.57270915123627e-05	1.93085673729903e-06	-4.06133577558769e-06
0	2.44481352265347e-18	7.49687380122464e-17	-2.48478022651462e-18	2.98844018498311e-19	-1.59730312030417e-20	1.63668310707267e-17	-3.73157109504807e-17	-4.83617873543071e-16	3.37885286504572e-11	3.61978259892521e-05	-7.47470488949104e-06	5.52729591009048e-08
0	-2.5539541103774e-20	-1.0869938980133e-18	8.86683375564342e-20	4.13694117443389e-19	-1.92441760052872e-20	-1.0826245559985e-16	-9.65179369664573e-18	-1.93617001774096e-16	-5.462263382227e-10	1.23473168043878e-06	4.52371581974116e-06	-1.60718176682527e-07
0	2.93287415463316e-28	1.70950716779862e-26	-3.20885861055531e-27	-5.68835563640466e-20	-7.84740043274463e-20	3.42736478726494e-23	1.45373841617336e-18	2.32540783152794e-22	-4.8003618828416e-09	2.89639608092579e-08	7.61544198022164e-09	-9.48401042350114e-08
0	0	-0	-0	5.7186635340486e-19	1.42353647517313e-20	-0	-2.96064702876415e-17	-0	4.68974682876504e-09	2.70332206690294e-06	1.30503141663268e-06	3.92836457655104e-06
0	0	-0	-0	1.42936809849163e-19	5.68223449987177e-20	-0	2.35425907385733e-18	-0	-1.8021710835607e-08	4.73227672422355e-07	2.01976714191517e-07	1.71946480872402e-07
0	0	-0	-0	-3.04746572554336e-19	5.61308220066234e-20	-0	-2.97883409973895e-17	-0	-1.69435054345334e-08	1.78432038585359e-06	9.14706638205918e-07	3.63318626360952e-06
0.00116866574532156	0	-0	-0	9.99565052209079e-21	-8.14805473601352e-20	-0	-0.548786171337177	-0	1.02883225071137e-09	4.72790938355076e-07	1.54449325319805e-07	-9.30847779420564e-07
0	0	-0	-0	3.05833487879231e-19	8.97952634799416e-20	-0	3.21013080716964e-17	-0	-9.826844722326e-10	-3.95792737247425e-07	-2.40178340659131e-07	-1.75107503842182e-06
0	0	-0	-0	-1.30108892909691e-19	-4.30975574800847e-20	-0	1.42122601781018e-16	-0	1.29283460509097e-09	1.64018428742221e-06	9.80286663818263e-07	6.24837363045873e-06
0.00168506324969032	-0.0366501270731261	0.00372211120392989	0.239914100411687	-2.854567206696e-19	1.05706237658764e-19	0.00834651220649219	-1.21390409253382e-19	-0.0151491332764464	-1.6907058299017e-09	-0.0175453250525221	0.0179045632339725	0.098076224555418
0	0	-0	-0	8.65784139124142e-18	1.3181884067196e-18	-0	-0	-0	3.01097043596055e-07	8.41441126820026e-13	8.403673753008e-13	5.52958906802646e-11
0	0	-0	-0	-6.54587061638123e-18	2.63877232849316e-19	-0	-0	-0	7.95917792361571e-08	-9.32563917374152e-14	-1.22152972352918e-13	-2.24471973281749e-11
0	0	-0	-0	-2.20821489349196e-18	-2.48327478104238e-19	-0	-0	-0	1.04309272395566e-07	5.72491973084247e-15	8.93782447548474e-15	2.6983828566716e-12
0	0	-0	-0	2.77022125399519e-18	-1.11563503576252e-19	-0	-0	-0	3.09175556615747e-07	2.10248955189922e-17	3.87500662048113e-17	1.84472942359077e-14
0	0	-0	-0	-1.24386788304294e-18	1.32539480421617e-18	-0	-0	-0	2.31110923330601e-08	-3.23499525353258e-18	-7.28656606931383e-18	-6.34329526056769e-15
0	0	-0	-0	6.52374188063421e-18	-5.92592604423295e-19	-0	-0	-0	1.93375490436433e-07	-1.07166873313719e-19	-2.87152130207947e-19	-4.07683130290485e-16
0.000892932996949361	0	-0	-0	-1.7914038561029e-19	3.36177186934061e-21	-0	-0.419306617497919	-0	-3.48770597374336e-11	-1.34719121877097e-06	-7.67870080285844e-07	-4.12215227107013e-06
0	0	-0	-0	6.79611591273568e-18	-1.46433467734547e-18	-0	-0	-0	-4.8181644301837e-08	-4.49093601629352e-24	-1.71232282143258e-23	-6.60881715573898e-20
0	0	-0	-0	4.36391374425416e-18	1.26774362424367e-18	-0	-0	-0	2.04698177434161e-08	8.02917622578821e-27	3.63019226878387e-26	2.25618874771025e-22
0	0	-0	-0	4.81961746987697e-19	-8.13151629364128e-20	-0	-0	-0	-2.40058935317455e-08	-4.19933848732244e-30	-2.25173118320139e-29	-2.25492152366358e-25
0	0	-0	-0	2.04092588640924e-18	1.93907017450191e-18	-0	-0	-0	1.94043687511465e-07	6.92544413086458e-32	4.40586660723302e-31	7.12011008352115e-27
0	0	-0	-0	-3.57471064798466e-19	-1.69507174613347e-18	-0	-0	-0	2.04582770084752e-08	-1.50108396172984e-34	-1.13232607567843e-33	-2.94597265653976e-29
