GlobalSignal	CompCorrVec1	CompCorrVec2	CompCorrVec3	CompCorrVec4	CompCorrVec5	CompCorrVec6	CompCorrVec7	CompCorrVec8	CompCorrVec9	CompCorrVec10	CompCorrVec11	CompCorrVec12
0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0.00125435339903001	-0.0272821874653667	0.00277072260704513	0.178590962316647	-0	-0	0.00621310562567091	6.61744490042422e-24	-0.0112769457295948	1.22625783602743e-18	-0.00423161736770349	0.0218158168129104	-0.00965368293958337
-0.000370130341871071	-0.00105245836975448	0.0278098293375664	-0.000939856432773574	-4.58919080061384e-19	-3.83885151880484e-21	1.85385336207218e-05	6.81453887933846e-18	2.39960742520831e-05	3.33664514410777e-11	0.29416878932314	-0.120942929284657	0.0122730941010948
-0.000842489706658085	5.92085376262914e-19	1.4934099888207e-17	-3.32754040762613e-19	1.8368560348954e-18	3.62601083861155e-21	4.87597557611404e-18	-3.23233760684394e-18	-3.42802322799745e-17	-7.25329367163253e-11	-2.57270913663544e-05	1.93085692470081e-06	-4.0613355187992e-06
0	2.44481352265347e-18	7.49687380122464e-17	-2.48478022651462e-18	-2.60460134229223e-18	-1.26778870558705e-20	1.63668310707267e-17	-3.73157109440184e-17	-4.83617873543071e-16	1.40054707193164e-11	3.61978266219505e-05	-7.47470496556475e-06	5.52741621715638e-08
0	-2.5539541103774e-20	-1.0869938980133e-18	8.86683375564342e-20	-9.07320041646273e-19	4.40990664067333e-22	-1.0826245559985e-16	-9.65179369745352e-18	-1.93617001774096e-16	-2.07605288765423e-10	1.2347317449926e-06	4.52371582073407e-06	-1.60718094798469e-07
0	2.93287415463316e-28	1.70950716779862e-26	-3.20885861055531e-27	-1.84187314380448e-18	2.32760352566296e-20	3.42736478726494e-23	1.45373841621399e-18	2.32540783152794e-22	-1.13907406235436e-10	2.89639630016429e-08	7.61544224466634e-09	-9.48400997065722e-08
0	0	-0	-0	-1.43595907361245e-18	3.4943211001537e-20	-0	-2.96064702876478e-17	-0	1.45463350975475e-09	2.70332208370261e-06	1.30503140428946e-06	3.92836457144996e-06
0	0	-0	-0	-2.33116701974184e-18	7.90619229478184e-21	-0	2.35425907385891e-18	-0	-5.95126442658266e-09	4.73227674515839e-07	2.01976711557734e-07	1.71946481151315e-07
0	0	-0	-0	4.83662430327106e-19	-6.46416833291815e-20	-0	-2.97883409973769e-17	-0	-4.43853970470622e-09	1.78432039863978e-06	9.14706631006685e-07	3.63318625762808e-06
0.00116866574532156	0	-0	-0	-1.33706404791261e-18	7.13559600600627e-22	-0	-0.548786171337177	-0	2.86192874665642e-10	4.72790938941571e-07	1.54449321827078e-07	-9.30847772696441e-07
0	0	-0	-0	-9.21908509121988e-19	8.10254429268661e-21	-0	3.21013080716964e-17	-0	-2.29043959247007e-10	-3.95792741277427e-07	-2.40178339747386e-07	-1.75107502957077e-06
0	0	-0	-0	2.94890457061825e-18	-3.75209125854053e-21	-0	1.42122601781018e-16	-0	3.23813341488996e-10	1.64018430354852e-06	9.80286659665488e-07	6.24837361130338e-06
-0.00168506324969032	0.0366501270731261	-0.00372211120392989	-0.239914100411687	5.89729732323249e-19	-9.13310793835112e-21	-0.00834651220649219	1.21397026698282e-19	0.0151491332764464	2.98237145026815e-10	0.0175453248005009	-0.0179045635443941	-0.0980762244956649
0	0	-0	-0	-1.24657838847415e-17	1.66404916444028e-18	-0	-0	-0	5.97857763425726e-08	-8.41441146643054e-13	-8.403673841852e-13	-5.52958895346055e-11
0	0	-0	-0	-2.17263950970728e-19	-1.42841518642597e-18	-0	-0	-0	-7.57499972302868e-08	9.32563941964764e-14	1.22152974417923e-13	2.24471966856493e-11
0	0	-0	-0	-6.82285039013339e-19	-5.55005103798579e-20	-0	-0	-0	-4.50152502420019e-08	-5.72491989085826e-15	-8.93782465665714e-15	-2.69838276983097e-12
0	0	-0	-0	-1.17517351102062e-17	8.28557041092316e-19	-0	-0	-0	-1.12414940786304e-07	-2.10248961549106e-17	-3.87500671356098e-17	-1.84472935998278e-14
0	0	-0	-0	4.08439287166024e-18	1.53524721689842e-21	-0	-0	-0	-5.61235085441707e-08	3.23499536499951e-18	7.28656628355554e-18	6.34329502036839e-15
0	0	-0	-0	-5.94871238856695e-18	-2.44474884401272e-19	-0	-0	-0	-7.43698661808396e-08	1.07166877396226e-19	2.87152139854712e-19	4.07683113152817e-16
-0.000892932996949361	0	-0	-0	-5.3015517001846e-19	-1.0816188244246e-20	-0	0.419306617497919	-0	9.28237999029726e-12	1.34719123088841e-06	7.67870076214037e-07	4.12215226628155e-06
0	0	-0	-0	-8.57705562389705e-18	1.9156179497748e-19	-0	-0	-0	-1.63549247926152e-08	4.49093618289821e-24	1.71232288981591e-23	6.60881681065805e-20
0	0	-0	-0	1.2962780466543e-17	3.29813453837143e-19	-0	-0	-0	-7.97266292263835e-08	-8.0291765070107e-27	-3.63019242045234e-26	-2.25618861365266e-22
0	0	-0	-0	1.23488933380204e-17	-2.67916521216535e-18	-0	-0	-0	-1.97271250142161e-07	4.19933864573752e-30	2.25173128713061e-29	2.25492137928301e-25
0	0	-0	-0	-7.20443873287145e-18	7.90546437584279e-19	-0	-0	-0	-2.26395776030596e-07	-6.92544438934527e-32	-4.40586682416553e-31	-7.12010959240372e-27
0	0	-0	-0	2.12859379645006e-18	3.88046968960876e-19	-0	-0	-0	-3.42921860388329e-08	1.50108400902836e-34	1.1323261318841e-33	2.94597243127549e-29
