GlobalSignal	CompCorrVec1	CompCorrVec2	CompCorrVec3	CompCorrVec4	CompCorrVec5	CompCorrVec6	CompCorrVec7	CompCorrVec8	CompCorrVec9	CompCorrVec10	CompCorrVec11	CompCorrVec12
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0.00128120172890309	-0.0578549369978507	-0	0.112224414795786	-0	-0.00410305870193739	0.0424947627127241	0.250708040257713	-0.0383452385640119	0.135416347389994	-0.00452872224517366	0.196788257244666	-0.00426706870421795
0	3.45779158188367e-17	-0	2.42875626362325e-17	-0	-5.04365402882649e-18	5.25163276305621e-17	-2.7376170118908e-07	-7.12475592308084e-06	-6.52006868921059e-06	5.06851690485416e-05	4.02293571396844e-05	-0.000295486216209573
0	3.21694212590758e-17	-0	3.30294434287929e-17	-0	1.24887990005465e-18	-8.67063968809314e-16	2.52754521849046e-06	2.88096395623854e-06	1.74175377164646e-05	-2.69947289283016e-05	3.04471913295885e-06	-1.94543330627969e-05
0	2.24256771394118e-19	-0	9.13610214907079e-19	-0	2.51711204115086e-17	3.91566485049643e-18	-1.81316651416111e-06	7.58051545926581e-08	-3.4794324182584e-06	-3.05880601382397e-06	1.51470846391005e-05	0.000178319616828767
0.0012507260844922	-0.0564787552088213	-0	0.109554959016536	-0	-0.00400546020891394	0.0414839497796114	-0.028128848674759	0.0153324917840304	0.017452422372231	0.00268107393676126	0.0444224797437514	-0.00292561037142934
0	-0	-0	-0	-0	-0	-0	-1.55345469409381e-10	-1.28628562910821e-14	-2.99480890549606e-10	3.82607809777149e-11	9.24598238429198e-10	1.20739710512923e-10
0	-0	-0	-0	-0	-0	-0	2.10967281720085e-11	1.5065658851982e-11	-3.13432080121003e-10	-7.4837127147564e-11	-4.35350466792316e-10	-1.31452679781315e-09
0	-0	-0	-0	-0	-0	-0	-7.88797553862093e-12	-7.24011123505161e-11	3.16347586804333e-10	2.78715256427755e-10	-8.36355455793013e-10	-2.36476748336861e-10
0	-0	-0	-0	-0	-0	-0	-2.52467054123955e-12	-4.32396456280452e-11	-1.2863798547545e-10	-3.80189021686169e-10	2.12848099150091e-10	2.23043201482471e-10
0	-0	-0	-0	-0	-0	-0	4.01334157903938e-15	7.82719814313667e-14	5.96115495598439e-13	1.5931446525342e-10	2.07560752792358e-11	3.96998681145405e-09
0	-0	-0	-0	-0	-0	-0	-4.10988494292075e-15	-1.10855503576218e-13	-5.21249688279904e-12	-4.0344611203442e-10	1.1134927967512e-11	5.23355246146131e-09
0	-0	-0	-0	-0	-0	-0	-1.19295834531357e-16	-4.16715485846069e-15	-1.1201533704013e-12	-2.31593768491084e-10	-1.63689326378107e-11	-2.10721475000599e-09
0	-0	-0	-0	-0	-0	-0	5.61306944056912e-19	2.44090073109301e-17	2.12239196616793e-14	6.33981720436465e-12	7.36299882516687e-13	2.5079873841059e-10
0	-0	-0	-0	-0	-0	-0	1.04841356828561e-19	5.55631854593324e-18	1.26862108437801e-14	4.90048347102499e-12	7.70432873852367e-13	4.05138809991806e-10
0.0015200205757807	-0.161495501352777	-0	-0.0982691306307052	-0	0.00933322146556068	-0.00118342847365731	0.0285652313591662	0.160404736221787	0.00398064865432437	-0.0773290433634873	-0.00369726279432039	-0.00840853031221884
0	-0	-0	-0	-0	-0	-0	-1.30536499979109e-26	-1.05056657161141e-24	-2.0539018320818e-20	-1.48755422235285e-17	-5.22591502987621e-18	-1.12120855857576e-14
0	-0	-0	-0	-0	-0	-0	-1.50217492904979e-30	-1.48875552975552e-28	-8.45561681855264e-24	-8.35160756065546e-21	-4.35336148262587e-21	-1.84384012739659e-17
0.000227951429509146	-0.00346245564287993	-0	0.00701066882801061	-0	-0.000261809129390482	-0.140357968847122	-0.0172026193864685	0.00103265338758512	-0.00140469918140963	-0.000181954953229241	-0.0677411792891974	0.00139098732330548
0	-0	-0	-0	-0	-0	-0	-4.07169819851226e-38	-6.11882643379443e-36	-2.93080774895868e-30	-5.38132166823871e-27	-6.17068867858566e-27	-1.01613093558859e-22
0	-0	-0	-0	-0	-0	-0	8.14543364982779e-42	1.50716266279175e-39	2.09370574493547e-33	5.23723279144554e-30	8.89360945332886e-30	2.87427385641314e-25
0	-0	-0	-0	-0	-0	-0	2.79336608718635e-47	5.80578682568727e-45	1.23949305531416e-38	3.35245238630006e-35	6.1402361297106e-35	2.15730662042628e-30
0	-0	-0	-0	-0	-0	-0	-1.0651942414155e-53	-2.21231236043204e-51	-4.71342337484086e-45	-1.27447140414588e-41	-2.33367647031873e-41	-8.19696987957644e-37
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0.000325714131384873	-0.00494741680105745	-0	0.01001737042254	-0	-0.000374092557136419	-0.200554012775661	-0.0402481253620061	0.00370705122702557	-0.0644495997765592	-0.00498851777276044	0.214104372635249	-0.00200070273544768
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0.0017268446341498	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
